accompagnare     verb      La musica sarà accompagnata da una performance di danza.
accompagnare     verb      Mi ha chiesto di accompagnarlo nel viaggio.
agire    verb      Stanno agendo in una produzione teatrale.
adornare     verb      Si è adornata con una bellissima collana.
permettere     verb      Non posso permettermi di comprare una macchina nuova.
permettere     verb      Dovremo risparmiare soldi per permetterci una casa.
infastidire    verb      Non volevo infastidirti, mi dispiace.
scusare    verb      Si è scusata per aver dimenticato il suo appuntamento.
scusare    verb      Dovremmo scusarci con i nostri vicini per il rumore.
applicare    verb      Dovresti applicarti per il lavoro.
chiedere     verb      Posso chiederti una domanda ?
  aggredire    verb      È stata aggredita mentre tornava a casa.
tentare    verb      Stanno tentando di avviare un nuovo business.
sbarrare     verb      Le è stata sbarrata la partecipazione al torneo.
diventare    verb      È diventata una famosa cantante dopo anni di pratica.
decapitare     verb      L'esecutore ha utilizzato un'ascia per decapitarlo.
piegare    verb      Piegono i rami per creare un riparo.
meglio     verb      Hanno superato il precedente record di gran lunga.
mordere    verb      Fai attenzione, le zanzare possono morderti.
sanguinare     verb      Il suo naso stava sanguinando dopo la lotta.
benedire     verb      Ti benedico per il tuo cuore gentile.
benedire     verb      Che Dio ti benedica con felicità e successo.
vantare    verb      Non vantarti dei tuoi successi davanti agli altri.
importunare    verb      Mi scuso per importunarti, ma hai un minuto ?
  inchino    verb      Lei si inchinò alla regina con rispetto.
inchino    verb      Ha inchinato la testa nella preghiera.
inchino    verb      La ginnasta si inchinò elegantemente alla fine della sua esibizione.
marchiare    verb      Lo scandalo lo marcherà come disonesto per sempre.
violazione     verb      Ha violato la sicurezza dell'edificio.
violazione     verb      Hanno violato i termini del contratto.
violazione     verb      Ha violato la fiducia dei suoi amici.
trasmettere    verb      Le notizie vengono trasmesse alle 18:00.
costruire    verb      Sta costruendo un castello di sabbia sulla spiaggia.
bruciare     verb      Attenzione! Non toccare la stufa calda: potresti bruciarti.
bruciare     verb      Lei si è bruciata accidentalmente la mano sulla candela.
seppellire     verb      Lei sta seppellendo il suo passato e iniziando da capo.
accampare    verb      Si è accampata nella foresta per una settimana.
esultanza    verb      La folla ha applaudito rumorosamente per la squadra vincitrice.
esultanza    verb      Dovremmo esultare per i nostri amici durante le loro esibizioni.
rilassare    verb      Mi piace rilassarmi in spiaggia.
rilassare    verb      Rilassiamoci e guardiamo un film.
rilassare    verb      Non vedo l'ora di rilassarmi con i miei amici.
rilassare    verb      Dopo una lunga giornata, voglio semplicemente rilassarmi.
pulire     verb      Stiamo pulendo la macchina proprio adesso.
arrampicare    verb      Stanno arrampicando la montagna insieme.
allenatore     verb      Lei allena la squadra di pallacanestro del liceo.
allenatore     verb      Stanno allenando la classe di ginnastica questo semestre.
cappotto     verb      Il pittore cappotterà le pareti con uno strato fresco di vernice.
cappotto     verb      Lei ricopre con cura le fragole di cioccolato per un delizioso dessert.
cappotto     verb      Il parabrezza dell'auto ha bisogno di essere rivestito con un repellente per l'acqua.
confortare     verb      Una coperta calda può confortarti quando hai freddo.
paragonare     verb      Confrontano i loro punteggi dei test per vedere chi ha fatto meglio.
conformare     verb      Devi conformarti alle norme di sicurezza.
concentrare    verb      Ho bisogno di concentrarmi sui miei studi.
concentrare    verb      Le è difficile concentrarsi in ambienti rumorosi.
concentrare    verb      Dovresti concentrarti su un compito alla volta.
concentrare    verb      Il professore ha detto agli studenti di concentrarsi sul loro lavoro.
accondiscendere    verb      Accondiscono ad assistere alla riunione.
accondiscendere    verb      Acconsento ad accettare le scuse.
congratulare     verb      Voglio congratularmi con te per il tuo successo.
congratulare     verb      Si sono congratulati a vicenda per i loro successi.
congratulare     verb      Dovremmo congratularci con lui per la sua laurea.
connettere     verb      Ha collegato la televisione al decoder.
connettere     verb      Si è connessa le cuffie al lettore musicale.
convincere     verb      Stanno cercando di convincermi a andare.
tossire    verb      Il dottore gli ha consigliato di provare lo sciroppo per la tosse.
coprire    verb      Gli alberi sono coperti di foglie autunnali.
folla    verb      Per favore, non affollare l'ingresso, lascia passare gli altri.
sbriciolare    verb      Il vecchio edificio ha iniziato a sbriciolarsi e crollare.
sbriciolare    verb      Le sue speranze e sogni si sono sbriciolati dopo l'incidente.
ingannare    verb      Non ingannarti, lei non ti ama.
detrarre     verb      Detraerò l'importo dal tuo stipendio.
sconfiggere    verb      Ha fatto del suo meglio, ma è stata sconfitta.
dispiegare     verb      Il nuovo software si dispenserà domani mattina.
deragliare     verb      La forte pioggia ha causato il deragliamento dell'auto.
disertare    verb      
disertare    verb      Abbandoneranno la nave che affonda.
sviluppare     verb      Sta sviluppando un nuovo prodotto.
sviluppare     verb      L'azienda sta sviluppando una nuova linea di prodotti.
morire     verb      L'incendio ha causato la morte dell'albero.
deludere     verb      Mi dispiace deluderti, ma non posso venire.
discriminare     verb      Lei è stata discriminata a causa della sua razza.
trascinare     verb      Posso trascinarmi fuori dal letto al mattino.
drenare    verb      
perforare    verb      Stanno perforando per trovare petrolio nel deserto.
affogare     verb      Il bagnino ha salvato un ragazzo dall'affogamento.
drogare    verb      Si è accidentalmente drogata con la medicina sbagliata.
drogare    verb      La vittima è stata drogata e portata in un luogo segreto.
eleggere     verb      I cittadini stanno eleggendo i loro rappresentanti.
eleggere     verb      Lei vuole essere eletta sindaco della città.
incarnare    verb      I valori dell'azienda sono incarnati nella sua dichiarazione di missione.
abilitare    verb      Utilizzare una mappa ti consente di trovare la tua strada.
incoraggiare     verb      Voglio incoraggiarti a perseguire i tuoi sogni.
evolvere     verb      La tecnologia si è evoluta rapidamente negli ultimi anni.
scusare    verb      Devo scusarmi dalla riunione.
scusare    verb      Potresti per favore scusarmi per un momento ?
  esentare     verb      Lei è stata esentata dal pagamento della tassa.
esentare     verb      L'hanno esentata dal servizio di giuria a causa della sua età.
riesumare    verb      La verità è stata riesumata durante il processo.
espandere    verb      La città si sta espandendo rapidamente a causa dell'aumento demografico.
spiegare     verb      
esplodere    verb      È rimasto sconvolto quando la sua auto è esplosa.
adattare     verb      Ha provato diversi vestiti per trovare uno che si adattasse.
lusingare    verb      Non lusingarti, non tutti ti apprezzano.
allagare     verb      La forte pioggia ha causato l'allagamento delle strade.
allagare     verb      La diga si è rotta e la città è stata allagata.
concentrare    verb      Devo concentrarmi sui miei studi.
concentrare    verb      Trovo difficile concentrarmi su un compito alla volta.
concentrare    verb      Se vuoi avere successo, devi concentrarti sui tuoi obiettivi.
forzare    verb      È stata costretta a scusarsi per il suo comportamento.
inquadrare     verb      È stata inquadrata per un crimine che non ha commesso.
liberare     verb      Si è liberata dalla relazione tossica.
liberare     verb      Dovremmo liberarci dai pensieri negativi.
friggere     verb      Stanno friggendo il pesce per la cena di stasera.
fornire    verb      Hanno arredato il loro nuovo appartamento splendidamente.
fornire    verb      Lei può fornirti tutte le informazioni necessarie.
laureare     verb      Si è laureata con lode in Informatica.
gemere     verb      L'anziano gemette dal dolore.
gemere     verb      Abbiamo tutti gemito quando il capo ha annunciato straordinario.
crescere     verb      Voglio coltivare le mie verdure.
indovinare     verb      Suppongo che lei non venga alla festa.
deglutire    verb      Non ingoiare il cibo, masticalo lentamente.
accadere     verb      Cosa accadrà se piove ?
  accadere     verb      Non preoccuparti, tutto accadrà al momento giusto.
molestare    verb      Ha presentato una denuncia contro il suo collega per molestie.
molestare    verb      Il docente ha avvertito gli studenti di non molestarsi a vicenda.
affrettare     verb      Devo affrettarmi per prendere l'autobus.
affrettare     verb      Si stanno affrettando per completare il progetto in tempo.
dirigere     verb      La squadra si sta dirigendo verso la vittoria nella partita.
onorare    verb      È stata onorata per il suo lavoro di beneficenza.
gancio     verb      Aggancia il pesce con un amo appuntito.
gancio     verb      Ha ganciato la cornice del quadro al muro.
gancio     verb      Erano agganciati alla serie televisiva.
gancio     verb      Ho agganciato la mia borsa sulla mia spalla.
abbracciare    verb      I bambini si sono abbracciati dopo la partita.
sbrigare     verb      Devo sbrigarmi se voglio prendere l'autobus.
sbrigare     verb      Non sbrigarti, abbiamo ancora molto tempo.
sbrigare     verb      Non dovresti sbrigarti quando prendi decisioni importanti.
imprigionare     verb      È stata imprigionata ingiustamente per un crimine che non ha commesso.
incriminare    verb      Le prove sono abbastanza forti per incriminarlo.
gonfiare     verb      I numeri di vendita sono stati gonfiati per attrarre gli investitori.
intervistare     verb      Posso intervistarti sui tuoi hobby ?
  indagare     verb      La polizia sta indagando sulla scena del crimine.
indagare     verb      Il detective sta indagando sul caso della persona scomparsa.
coinvolgere    verb      Il suo lavoro implica viaggiare in diversi paesi.
marmellata     verb      Hanno suonato tutta la notte al concerto.
giudicare    verb      È stata giudicata in base al suo aspetto.
baciare    verb      Lui l'ha baciata dolcemente sulla guancia.
